DATE,yield_20y,yield_30y
2018-01-01,,
2018-01-02,2.64,2.81
2018-01-03,2.62,2.78
2018-01-04,2.62,2.79
2018-01-05,2.64,2.81
2018-01-08,2.65,2.81
2018-01-09,2.72,2.88
2018-01-10,2.73,2.88
2018-01-11,2.72,2.91
2018-01-12,2.71,2.85
2018-01-15,,
2018-01-16,2.69,2.83
2018-01-17,2.71,2.84
2018-01-18,2.77,2.9
2018-01-19,2.78,2.91
2018-01-22,2.79,2.93
2018-01-23,2.77,2.9
2018-01-24,2.8,2.93
2018-01-25,2.76,2.89
2018-01-26,2.79,2.91
2018-01-29,2.82,2.94
2018-01-30,2.86,2.98
2018-01-31,2.83,2.95
2018-02-01,2.9,3.01
2018-02-02,2.97,3.08
2018-02-05,2.92,3.04
2018-02-06,2.94,3.06
2018-02-07,3.01,3.12
2018-02-08,3.03,3.14
2018-02-09,3.02,3.14
2018-02-12,3.02,3.14
2018-02-13,2.99,3.11
2018-02-14,3.07,3.18
2018-02-15,3.04,3.15
2018-02-16,3.02,3.13
2018-02-19,,
2018-02-20,3.04,3.15
2018-02-21,3.11,3.22
2018-02-22,3.09,3.21
2018-02-23,3.04,3.16
2018-02-26,3.03,3.15
2018-02-27,3.06,3.17
2018-02-28,3.02,3.13
2018-03-01,2.97,3.09
2018-03-02,3.02,3.14
2018-03-05,3.04,3.16
2018-03-06,3.03,3.14
2018-03-07,3.04,3.15
2018-03-08,3.01,3.13
2018-03-09,3.04,3.16
2018-03-12,3.0,3.13
2018-03-13,2.98,3.1
2018-03-14,2.94,3.05
2018-03-15,2.94,3.05
2018-03-16,2.96,3.08
2018-03-19,2.97,3.09
2018-03-20,3.01,3.12
2018-03-21,3.01,3.12
2018-03-22,2.94,3.06
2018-03-23,2.94,3.06
2018-03-26,2.96,3.08
2018-03-27,2.9,3.03
2018-03-28,2.89,3.01
2018-03-29,2.85,2.97
2018-03-30,,
2018-04-02,2.85,2.97
2018-04-03,2.9,3.02
2018-04-04,2.91,3.03
2018-04-05,2.95,3.07
2018-04-06,2.89,3.01
2018-04-09,2.89,3.02
2018-04-10,2.89,3.02
2018-04-11,2.87,2.99
2018-04-12,2.92,3.05
2018-04-13,2.91,3.03
2018-04-16,2.91,3.03
2018-04-17,2.89,3.0
2018-04-18,2.95,3.06
2018-04-19,3.01,3.11
2018-04-20,3.04,3.14
2018-04-23,3.05,3.15
2018-04-24,3.08,3.18
2018-04-25,3.12,3.21
2018-04-26,3.08,3.18
2018-04-27,3.03,3.13
2018-04-30,3.01,3.11
2018-05-01,3.03,3.13
2018-05-02,3.04,3.14
2018-05-03,3.02,3.12
2018-05-04,3.02,3.12
2018-05-07,3.02,3.12
2018-05-08,3.04,3.13
2018-05-09,3.07,3.16
2018-05-10,3.04,3.12
2018-05-11,3.03,3.1
2018-05-14,3.06,3.13
2018-05-15,3.14,3.2
2018-05-16,3.16,3.21
2018-05-17,3.19,3.25
2018-05-18,3.14,3.2
2018-05-21,3.13,3.2
2018-05-22,3.14,3.21
2018-05-23,3.09,3.17
2018-05-24,3.06,3.13
2018-05-25,3.01,3.09
2018-05-28,,
2018-05-29,2.87,2.96
2018-05-30,2.93,3.01
2018-05-31,2.91,3.0
2018-06-01,2.96,3.04
2018-06-04,3.0,3.08
2018-06-05,2.99,3.07
2018-06-06,3.05,3.13
2018-06-07,3.0,3.08
2018-06-08,3.0,3.08
2018-06-11,3.02,3.1
2018-06-12,3.02,3.09
2018-06-13,3.04,3.1
2018-06-14,2.99,3.05
2018-06-15,2.98,3.05
2018-06-18,2.98,3.05
2018-06-19,2.95,3.02
2018-06-20,2.99,3.06
2018-06-21,2.97,3.04
2018-06-22,2.97,3.04
2018-06-25,2.95,3.02
2018-06-26,2.95,3.03
2018-06-27,2.9,2.97
2018-06-28,2.91,2.97
2018-06-29,2.91,2.98
2018-07-02,2.92,2.99
2018-07-03,2.89,2.96
2018-07-04,,
2018-07-05,2.88,2.95
2018-07-06,2.87,2.94
2018-07-09,2.9,2.96
2018-07-10,2.91,2.97
2018-07-11,2.89,2.95
2018-07-12,2.89,2.95
2018-07-13,2.87,2.94
2018-07-16,2.9,2.96
2018-07-17,2.91,2.97
2018-07-18,2.93,2.99
2018-07-19,2.9,2.96
2018-07-20,2.96,3.03
2018-07-23,3.04,3.1
2018-07-24,3.02,3.08
2018-07-25,3.0,3.06
2018-07-26,3.05,3.1
2018-07-27,3.03,3.09
2018-07-30,3.05,3.11
2018-07-31,3.03,3.08
2018-08-01,3.07,3.13
2018-08-02,3.06,3.12
2018-08-03,3.03,3.09
2018-08-06,3.02,3.08
2018-08-07,3.06,3.12
2018-08-08,3.05,3.12
2018-08-09,3.01,3.08
2018-08-10,2.96,3.03
2018-08-13,2.97,3.05
2018-08-14,2.98,3.06
2018-08-15,2.95,3.03
2018-08-16,2.95,3.03
2018-08-17,2.95,3.03
2018-08-20,2.91,2.99
2018-08-21,2.93,3.0
2018-08-22,2.91,2.99
2018-08-23,2.9,2.97
2018-08-24,2.89,2.97
2018-08-27,2.92,3.0
2018-08-28,2.96,3.03
2018-08-29,2.96,3.02
2018-08-30,2.93,3.0
2018-08-31,2.95,3.02
2018-09-03,,
2018-09-04,2.99,3.07
2018-09-05,3.0,3.08
2018-09-06,2.98,3.06
2018-09-07,3.03,3.11
2018-09-10,3.02,3.09
2018-09-11,3.06,3.13
2018-09-12,3.04,3.11
2018-09-13,3.04,3.11
2018-09-14,3.07,3.13
2018-09-17,3.07,3.13
2018-09-18,3.14,3.2
2018-09-19,3.16,3.23
2018-09-20,3.15,3.21
2018-09-21,3.14,3.2
2018-09-24,3.15,3.21
2018-09-25,3.17,3.23
2018-09-26,3.14,3.19
2018-09-27,3.13,3.19
2018-09-28,3.13,3.19
2018-10-01,3.18,3.24
2018-10-02,3.14,3.2
2018-10-03,3.24,3.3
2018-10-04,3.29,3.35
2018-10-05,3.34,3.4
2018-10-08,,
2018-10-09,3.3,3.37
2018-10-10,3.33,3.39
2018-10-11,3.25,3.32
2018-10-12,3.25,3.32
2018-10-15,3.27,3.34
2018-10-16,3.26,3.32
2018-10-17,3.29,3.35
2018-10-18,3.28,3.36
2018-10-19,3.31,3.38
2018-10-22,3.31,3.38
2018-10-23,3.29,3.37
2018-10-24,3.24,3.33
2018-10-25,3.27,3.35
2018-10-26,3.23,3.32
2018-10-29,3.23,3.33
2018-10-30,3.26,3.36
2018-10-31,3.3,3.39
2018-11-01,3.29,3.38
2018-11-02,3.37,3.46
2018-11-05,3.34,3.43
2018-11-06,3.35,3.43
2018-11-07,3.35,3.43
2018-11-08,3.36,3.43
2018-11-09,3.32,3.4
2018-11-12,,
2018-11-13,3.28,3.36
2018-11-14,3.26,3.35
2018-11-15,3.27,3.36
2018-11-16,3.23,3.33
2018-11-19,3.22,3.32
2018-11-20,3.22,3.31
2018-11-21,3.22,3.31
2018-11-22,,
2018-11-23,3.21,3.31
2018-11-26,3.22,3.32
2018-11-27,3.22,3.32
2018-11-28,3.23,3.34
2018-11-29,3.21,3.33
2018-11-30,3.19,3.3
2018-12-03,3.15,3.27
2018-12-04,3.05,3.16
2018-12-05,,
2018-12-06,3.01,3.14
2018-12-07,3.01,3.14
2018-12-10,3.0,3.13
2018-12-11,3.02,3.13
2018-12-12,3.04,3.15
2018-12-13,3.05,3.16
2018-12-14,3.03,3.14
2018-12-17,3.0,3.11
2018-12-18,2.96,3.07
2018-12-19,2.89,3.0
2018-12-20,2.92,3.02
2018-12-21,2.92,3.03
2018-12-24,2.88,3.0
2018-12-25,,
2018-12-26,2.94,3.06
2018-12-27,2.92,3.05
2018-12-28,2.89,3.04
2018-12-31,2.87,3.02
2019-01-01,,
2019-01-02,2.83,2.97
2019-01-03,2.75,2.92
2019-01-04,2.83,2.98
2019-01-07,2.86,2.99
2019-01-08,2.88,3.0
2019-01-09,2.9,3.03
2019-01-10,2.92,3.06
2019-01-11,2.9,3.04
2019-01-14,2.91,3.06
2019-01-15,2.92,3.08
2019-01-16,2.92,3.07
2019-01-17,2.93,3.07
2019-01-18,2.95,3.09
2019-01-21,,
2019-01-22,2.91,3.06
2019-01-23,2.93,3.07
2019-01-24,2.89,3.04
2019-01-25,2.92,3.06
2019-01-28,2.92,3.06
2019-01-29,2.9,3.04
2019-01-30,2.9,3.06
2019-01-31,2.83,2.99
2019-02-01,2.88,3.03
2019-02-04,2.92,3.06
2019-02-05,2.89,3.03
2019-02-06,2.88,3.03
2019-02-07,2.85,3.0
2019-02-08,2.82,2.97
2019-02-11,2.85,3.0
2019-02-12,2.87,3.02
2019-02-13,2.89,3.04
2019-02-14,2.85,3.01
2019-02-15,2.84,3.0
2019-02-18,,
2019-02-19,2.84,2.99
2019-02-20,2.84,3.0
2019-02-21,2.89,3.05
2019-02-22,2.86,3.02
2019-02-25,2.87,3.03
2019-02-26,2.84,3.01
2019-02-27,2.91,3.07
2019-02-28,2.94,3.09
2019-03-01,2.97,3.13
2019-03-04,2.93,3.09
2019-03-05,2.93,3.08
2019-03-06,2.9,3.06
2019-03-07,2.86,3.03
2019-03-08,2.83,3.0
2019-03-11,2.86,3.03
2019-03-12,2.82,3.0
2019-03-13,2.82,3.02
2019-03-14,2.86,3.04
2019-03-15,2.83,3.02
2019-03-18,2.83,3.01
2019-03-19,2.84,3.02
2019-03-20,2.79,2.98
2019-03-21,2.78,2.96
2019-03-22,2.69,2.88
2019-03-25,2.68,2.87
2019-03-26,2.67,2.86
2019-03-27,2.63,2.83
2019-03-28,2.62,2.81
2019-03-29,2.63,2.81
2019-04-01,2.71,2.89
2019-04-02,2.7,2.88
2019-04-03,2.75,2.93
2019-04-04,2.74,2.92
2019-04-05,2.72,2.91
2019-04-08,2.74,2.93
2019-04-09,2.73,2.92
2019-04-10,2.71,2.9
2019-04-11,2.74,2.94
2019-04-12,2.78,2.97
2019-04-15,2.77,2.96
2019-04-16,2.81,2.99
